Year	Stock	Catch
1945	North	0
1946	North	0
1947	North	0
1948	North	0
1949	North	0
1950	North	0
1951	North	0
1952	North	0
1953	North	0
1954	North	0
1955	North	0
1956	North	0
1957	North	0
1958	North	0
1959	North	0
1960	North	0
1961	North	115
1962	North	332
1963	North	314
1964	North	728
1965	North	785
1966	North	851
1967	North	801
1968	North	822
1969	North	1125
1970	North	1453
1971	North	281
1972	North	53
1973	North	0.001
1974	North	0.001
1975	North	139
1976	North	118
1977	North	314
1978	North	396
1979	North	65
1980	North	217
1981	North	0.001
1982	North	56
1983	North	1073
1984	North	1545
1985	North	1565
1986	North	1353
1987	North	2197
1988	North	2340
1989	North	2537
1990	North	2469
1991	North	3158
1992	North	3764
1993	North	4061
1994	North	4382
1995	North	4358
1996	North	4372
1997	North	5180
1998	North	3572
1999	North	5492
2000	North	4345
2001	North	3592
2002	North	2917
2003	North	1883
2004	North	1980
2005	North	1426
2006	North	1340
2007	North	1284
2008	North	1501
2009	North	1607
2010	North	1307
2011	North	1302
2012	North	1137
2013	North	1078
2014	North	821
2015	North	848
2016	North	803
1945	South	53
1946	South	51
1947	South	83
1948	South	34
1949	South	32
1950	South	24
1951	South	16
1952	South	22
1953	South	26
1954	South	101
1955	South	69
1956	South	115
1957	South	129
1958	South	382
1959	South	721
1960	South	2632
1961	South	2238
1962	South	4014
1963	South	3320
1964	South	5220
1965	South	5086
1966	South	10559
1967	South	9173
1968	South	9704
1969	South	8009
1970	South	8203
1971	South	8963
1972	South	7666
1973	South	8334
1974	South	7561
1975	South	7795
1976	South	6632
1977	South	7566
1978	South	8935
1979	South	3574
1980	South	2482
1981	South	2942
1982	South	3394
1983	South	5562
1984	South	2321
1985	South	1384
1986	South	1627
1987	South	2303
1988	South	2616
1989	South	3042
1990	South	4157
1991	South	4413
1992	South	4460
1993	South	4176
1994	South	5458
1995	South	6262
1996	South	6163
1997	South	5050
1998	South	3729
1999	South	2459
2000	South	1103
2001	South	1271
2002	South	1195
2003	South	1706
2004	South	1681
2005	South	2454
2006	South	3135
2007	South	3197
2008	South	3055
2009	South	3033
2010	South	3488
2011	South	3173
2012	South	2603
2013	South	2925
2014	South	3050
2015	South	3393
2016	South	3036
