Species,Year,Quarter,Length,Sexo,PesoMgayi,BodyWeight,Preyweight,ISU
Lamarillo,92,2,34,2,314.2550232,299.10344,0.7,6.057464411
Lamarillo,92,2,36,2,367.5351227,355.05216,2.75,4.860663797
Lamarillo,92,2,37,1,340.4889189,323.67267,1.4,5.443260491
Lamarillo,92,2,37,2,396.1892794,385.46933,4.6,4.428405327
Lamarillo,92,2,39,2,457.6642813,451.41759,7.08,4.155118924
Lamarillo,92,2,40,2,490.5399381,487.04,0.99,6.198396591
Lamarillo,92,2,41,2,524.8772666,524.48881,2.8,5.232804676
Lamarillo,92,2,41,1,458.0842352,440.40519,0.37,7.081947463
Lamarillo,92,2,42,2,560.7032215,563.80968,0.2,7.94415466
Lamarillo,92,2,42,2,560.7032215,563.80968,2.6,5.379205303
Lamarillo,92,2,42,2,560.7032215,563.80968,2.2,5.546259387
Lamarillo,92,2,42,2,560.7032215,563.80968,4.5,4.830639351
Lamarillo,92,2,43,2,598.0445871,605.04827,3,5.306695951
Lamarillo,92,2,43,2,598.0445871,605.04827,2.3,5.572399117
Lamarillo,92,2,44,1,561.7954727,544.32576,14.5,3.625399242
Lamarillo,92,2,44,1,561.7954727,544.32576,14.35,3.635797949
Lamarillo,92,2,44,1,561.7954727,544.32576,11.3,3.874745165
Lamarillo,92,2,44,1,561.7954727,544.32576,0.36,7.321199139
Lamarillo,92,2,44,2,636.9279823,648.25024,0.2,8.083714707
Lamarillo,92,2,45,1,599.4930668,582.28875,4,4.980672098
Lamarillo,92,2,45,1,599.4930668,582.28875,11,3.969071186
Lamarillo,92,2,45,1,599.4930668,582.28875,7.8,4.312842725
Lamarillo,92,2,45,1,599.4930668,582.28875,1.66,5.860148856
Lamarillo,92,2,45,2,677.3798654,693.46125,13.3,3.953931327
Lamarillo,92,2,45,1,599.4930668,582.28875,0.2,7.976404371
Lamarillo,92,2,46,2,719.4265389,740.72696,7.05,4.654604466
Lamarillo,92,2,46,1,638.8076871,621.97704,11.2,4.016989401
Lamarillo,92,2,46,1,638.8076871,621.97704,5.3,4.765196358
Lamarillo,92,2,47,2,763.0941539,790.09303,14.44,4.002148565
Lamarillo,92,2,47,2,763.0941539,790.09303,0.7,7.028825642
Lamarillo,92,2,47,1,679.7712761,663.42897,5.8,4.739563877
