YY	hci	hchw	soi	ipo	pdo	Rnorte	Rsur	SSBnorte	SSBsur	Bnorte	Bsur	hakeSSB	hakeR	hakeF	hakeCatch	hakeBtotal	ShrimpCatch
1968	-0.150833333	-0.345	0.308333333	-0.189166667	-0.1875	3753.89	4591.74	32824.6	10413	60791	47587.9	126.085	672.528	1.14079	130.4	425.939	10.526
1969	0.659166667	0.5425	-1.133333333	0.5125	-0.394166667	4450.1	5731.06	33355.9	9117.86	63760	47769	116.313	690.86	0.849023	85.7	399.699	9.134
1970	0.834166667	0.965	0.416666667	-0.555	-0.415833333	3852.9	4756	33866.7	8870.74	65133.5	49169.2	131.167	628.67	0.803404	88.3	394.679	9.656
1971	1.094166667	0.91	1.658333333	-1.171666667	-1.3425	3254.2	3775.93	34674.2	8864.99	64493.7	48352.7	159.374	617.481	0.517547	66	404.202	9.244
1972	0.484166667	0.33	-1.358333333	0.478333333	-1.168333333	2586.46	2683.25	35114.3	9024.55	63052.1	43932.7	172.727	556.049	0.474733	66.9	401.77	7.719
1973	1.0225	0.8875	0.958333333	-0.7575	-1.184166667	3217.81	3711.13	35357.7	8594.66	62976.3	42089.6	200.4	658.102	0.285003	46.5	442.767	8.334
1974	0.5725	0.11	1.625	-0.940833333	-0.375	3563.47	4273.96	35563.3	7939.51	63775.2	40883.1	220.744	680.097	0.235983	43.5	441.059	7.561
1975	1.009166667	0.9175	2.066666667	-1.153333333	-1.460833333	2753.3	2949.86	35266.7	7200.23	62604.4	38649.8	267.219	669.649	0.14436	32.4	532.464	7.935
1976	0.155	0.1675	0.141666667	-0.033333333	-0.1675	2152.82	1968.38	34362.6	6828.03	59597.5	34065.9	318.536	688.48	0.112443	29.6	552.598	6.751
1977	0.516666667	1.1325	-1.675	0.3425	0.015833333	1706.3	1240.24	32695.4	5848.01	55387.4	28822.2	349.771	594.1	0.123085	36.6	626.509	7.88
1978	0.164166667	0.8275	-0.591666667	-0.060833333	0.014166667	1678.55	1198.45	30557.4	3478.08	51040	22118.7	370.28	667.941	0.107571	34.1	693.749	9.331
1979	-0.835	-0.985	-0.175	0.145	0.07	2076.96	1856.09	28671.1	2614.31	48022.4	15596.3	356.089	643.309	0.102223	31.8	641.57	3.639
1980	-0.4975	-0.3875	-0.616666667	0.298333333	0.251666667	3256.04	3791.7	27676.3	2825.36	48894.4	19260.2	326.257	693.882	0.109999	31.7	621.169	2.699
1981	-0.515833333	-0.64	0.008333333	-0.076666667	0.785833333	1673.94	1217.66	26615.7	3306.7	46368.8	20255.7	340.596	714.336	0.108363	32.7	625.791	2.942
1982	-0.491666667	-0.17	-2.133333333	0.831666667	-0.2475	1478.8	904.644	25503.4	3741.07	43614.4	19196.3	434.211	768.65	0.0688937	26.4	729.999	3.46
1983	-0.313333333	0.3325	-1.841666667	0.931666667	1.186666667	1542.87	1015.75	23712.5	3048.37	41027.4	17117.7	417.589	738.682	0.0681399	25.3	772.566	6.635
1984	-0.913333333	-0.65	-0.2	-0.221666667	0.594166667	1698.02	1276.44	21589	2728.66	38155.3	13174.7	484.045	756.277	0.0773905	33.2	849.907	3.866
1985	-0.395	-0.3425	0.075	-0.4225	0	1704.23	1299.6	19632.6	2907.39	35410.6	13107.3	504.673	726.264	0.0645121	28.7	911.68	2.946
1986	-0.785	-1.27	-0.658333333	0.369166667	0.96	1824.22	1513.43	18184.1	3168.09	33507.2	14540.6	506.89	731.76	0.0662846	29.7	906.585	2.98
1987	-0.646666667	-0.915	-2.183333333	1.256666667	1.118333333	1996.3	1813.83	16817.6	3282.86	32753.8	16323.2	536.286	548.778	0.0648454	30.9	947.721	4.5
1988	-0.594166667	-0.5	1.15	-0.596666667	-0.0775	2379.67	2456.57	15891	3431.87	32537.3	18735.4	542.519	483.12	0.104105	50.1	915.194	4.956
1989	-0.550833333	-0.3325	0.916666667	-0.675	-0.551666667	2195.79	2174.1	15271.8	3665.8	32188.7	20600.1	534.507	465.628	0.0991703	46.9	872.549	5.579
1990	-0.635	-0.6775	-0.65	-0.05	-0.856666667	2169.98	2145.5	14949	3723.31	31794.9	21882.1	494.757	544.27	0.116562	52.8	828.429	6.626
1991	-0.989166667	-0.9075	-1.525	0.388333333	-0.933333333	2302.52	2371.77	14525.7	3693.78	31924.2	22286.4	449.093	777.811	0.152346	63.7	821.14	7.562
1992	-0.534166667	-0.43	-2.008333333	0.815833333	0.699166667	2503.86	2705.98	13952.5	3692.92	31968	23146.6	405.644	1506.35	0.163529	62.6	999.143	8.206
1993	-0.93	-0.6175	-1.658333333	0.7775	0.973333333	2809.04	3211.75	13559.2	3954.23	32365.4	25116.7	398.208	1565.39	0.167101	61.8	1146.2	8.237
1994	-0.791666667	-0.4	-2	0.46	-0.534166667	2580.32	2848.72	13169	4052.64	32135.6	26946.4	520.48	1041.44	0.151532	67	1175.18	9.84
